hour,baseline_rmse,improved_rmse,baseline_mae,improved_mae
1,4.682672858053214,4.668296256974821,3.198833603441119,3.217228387878963
2,4.79281212027638,4.716186283256213,3.3616790609617935,3.3361629169705003
3,5.184245364645844,5.100348432518424,3.535971793607796,3.4998516363252326
4,5.339166250400299,5.210185966597806,3.661442919476974,3.610332567607806
5,5.656684976080218,5.52056399053396,3.762991084453684,3.6928268750671123
6,5.8119154253947505,5.667301330188276,3.9015451213860874,3.8288316571367056
7,6.065158776928317,5.915235911893093,4.100024392985514,4.021333947683608
8,6.362765284079401,6.197250388532152,4.311402323334053,4.232437065190947
9,6.707967201541645,6.5561727053485175,4.557439982103379,4.484911040027539
10,6.945786492429649,6.841145086411894,4.798161184746631,4.767730122491563
11,7.183854124204563,7.062452686710341,5.044843883901694,4.991863246725791
12,7.232813795908398,7.111263783110444,5.147601694963046,5.079983197902105
13,7.279152450960879,7.171443420424351,5.211729230845347,5.158216810889738
14,7.0424747888261585,6.951119799693067,5.071788679972849,5.0574013375793205
15,6.832587215284879,6.744055752451335,4.922612743927244,4.894660419153355
16,6.605188288351416,6.538931984948851,4.798109356508388,4.789034364045268
17,6.669809216271906,6.631748848939155,4.738875319697843,4.7377803381544625
18,6.610304219476841,6.5764073621596495,4.755708772830432,4.769480909776725
19,6.695794838373235,6.655970220864789,4.864191733469929,4.873291536460246
20,6.935357444591063,6.889826546201538,5.006173711812932,5.014625689419217
21,7.378771237702749,7.3112212439451145,5.182377436313465,5.166594358686193
22,7.492659743545221,7.412217075270138,5.2825714531970895,5.245071467523254
23,7.444558922304098,7.337583641808276,5.345755366781203,5.291847630436106
24,7.482981740894366,7.36947025305878,5.366924999338755,5.30313636034762
25,7.803783234882315,7.671925624786424,5.583103455649656,5.517701391572757
26,7.671272013226607,7.520335280964426,5.5244356513751365,5.445634519255142
27,7.722173560362421,7.5613943487796424,5.503149301639939,5.407499022328695
28,7.583865643133932,7.38832060522332,5.429433245359806,5.320084750215999
29,7.625709029893253,7.425465905928916,5.3496673233185295,5.238423091016657
30,7.603823798444655,7.388695442004892,5.369522253830842,5.2407287622205425
31,7.70432292388648,7.461898713678997,5.452733318479264,5.319480964381318
32,7.879943478860937,7.63661752318236,5.5814060678323285,5.440859575764858
33,8.12107078654604,7.916014161784383,5.741417000612223,5.635654082706453
34,8.189049895420165,8.01070019816778,5.8801894580288,5.777224084950694
35,8.230692690096514,8.055728908864042,6.01021405252245,5.900155855152574
36,8.161670362804257,7.985767702169194,5.989388724780348,5.8842223807288425
37,8.080788368798213,7.901697483553426,5.958410257839986,5.838845079414149
38,7.717517030247627,7.545250974876425,5.71187566700547,5.613800066881903
39,7.415722551879155,7.26818751984293,5.458047159371556,5.377544799968347
40,7.126475472238977,7.021608859787872,5.2765446443252815,5.228626816590802
41,7.177608188720676,7.094378316611396,5.19270088388253,5.182615028748412
42,7.101670005176379,7.032062601396819,5.192380766630867,5.196710878418121
43,7.212598484510372,7.1293975014992474,5.307937630349454,5.292012043147878
44,7.453120467292201,7.368883171130246,5.488274792051764,5.459297345131358
45,7.886363263046173,7.788396323842592,5.646110676098866,5.621400678865116
46,8.0009851898413,7.9017263046904995,5.7565964794712725,5.705823874727736
47,7.968047348823688,7.843223884934842,5.808454285331006,5.731330602626115
48,8.022768738577124,7.886683089973361,5.843540351432993,5.755777545767943
49,8.325051757839626,8.177354290493591,6.040976015828897,5.939614620357442
50,8.19668211567635,8.02116480752156,5.963895348334563,5.851930640930624
51,8.22193320763837,8.029299664268121,5.936298342933831,5.804999359671798
52,8.063043751952574,7.868741271233028,5.852806760878467,5.710224019227799
53,8.083912124346446,7.871797008151479,5.764700797145505,5.605685281945955
54,8.04025893454272,7.820411722820492,5.762394229027399,5.616626179629894
55,8.123406867298193,7.893248969098102,5.841229365422175,5.679622342847289
56,8.292139343500104,8.065752682911318,5.955224294364387,5.789722582034804
57,8.484144403175295,8.29030836131059,6.077164971100299,5.941701907713414
58,8.537291353671684,8.337905783277158,6.19153270311042,6.055497869543262
59,8.553488016584868,8.34740871221472,6.272876414829297,6.1281123641970865
60,8.457259549524412,8.245684829034147,6.24139830508845,6.104579038005825
61,8.348500137781189,8.157594683234862,6.164099114563962,6.05000264795034
62,7.973293481818789,7.769832891877543,5.933268944568219,5.809210126427521
63,7.657725896851675,7.469111881907815,5.667041530712313,5.5471398661782265
64,7.347869005324745,7.190680833019775,5.463494622676846,5.382456820766998
65,7.389004185977466,7.248037856584651,5.398327001895387,5.316027665951746
66,7.306862710343629,7.169321535580849,5.401193451932231,5.316614825619658
67,7.43097669042984,7.290267857479781,5.524463402499404,5.436482621997956
68,7.688784703309293,7.526007941050825,5.690677232965924,5.606126712655379
69,8.231740364722029,8.070951534306811,5.879165888049818,5.783113014380537
70,8.26101511597139,8.08331247445322,5.97025381526607,5.859184643264428
71,8.229270707922877,8.024841739042891,6.022889317716138,5.88381995899115
72,8.314992069435739,8.08905273163335,6.075935946657821,5.929049042116331
